title, price, img, desc
KiaSorento,$530004746680сом,https://im.mashina.kg/tachka/images//4/6/7/4675240d4e3b694e23d6f89f5e5474bb_240x180.jpg,"2021г.,3.5л.,автоматвнедорожник5дв.,бензинрульслева,8500км"
KiaStinger,$445003985420сом,https://im.mashina.kg/tachka/images//0/d/d/0dd2928493c79f29c1e6d9a13bb60f47_240x180.jpg,"2022г.,3.3л.,автоматлифтбек,бензинрульслева,18000км"
Mercedes-BenzS-Класс,$14500012986200сом,https://im.mashina.kg/tachka/images//e/1/7/e17ed910943a4a4e25c5587acd354015_240x180.jpg,"2022г.,3л.,автоматседан,бензинрульслева,16000км"
HyundaiGrandeur,$450004030200сом,https://im.mashina.kg/tachka/images//1/2/7/12768bc96babdb9a5c823714487fca85_240x180.jpg,"2023г.,3.5л.,автоматседан,газрульслева,14000км"
KiaSportage,$158001415048сом,https://im.mashina.kg/tachka/images//e/1/e/e1e2b33df2c98a0a94abbd3e52710b21_240x180.jpg,"2017г.,2.4л.,автоматвнедорожник5дв.,бензинрульслева,172199км"
GenesisG70,$365003268940сом,https://im.mashina.kg/tachka/images//0/8/c/08c315c5f354557aa817102637fe821b_240x180.jpg,"2022г.,2л.,автоматседан,бензинрульслева,7800км"
Mercedes-BenzC-Класс,$330002955480сом,https://im.mashina.kg/tachka/images//1/5/0/150d79ab40c5d9036cc84c8c35b3d03b_240x180.jpg,"2020г.,2л.,автоматседан,бензинрульслева,51000км"
LandRoverRangeRover,$675006045300сом,https://im.mashina.kg/tachka/images//5/a/2/5a21d92047e0db71080f5f9969493f5d_240x180.jpg,"2018г.,4.4л.,автоматвнедорожник5дв.,дизельрульслева,140000км"
LandRoverRangeRoverSport,$625005597500сом,https://im.mashina.kg/tachka/images//6/0/5/605812e1efb03ec6e0e6ae4e295a45d0_240x180.jpg,"2019г.,3л.,автоматвнедорожник5дв.,бензинрульслева,92000км"
Mercedes-BenzE-Класс,$270002418120сом,https://im.mashina.kg/tachka/images//e/7/9/e79be91fbd0ddaebcc5768a4f2e44d6c_240x180.jpg,"2016г.,2л.,автоматседан,бензинрульслева,165000км"
BMW7серии,$670006000520сом,https://im.mashina.kg/tachka/images//4/4/c/44caa4ae28c3571e936cb8555a18a959_240x180.jpg,"2019г.,3л.,автоматседан,дизельрульслева,80000км"
ToyotaSequoia,$13000011642800сом,https://im.mashina.kg/tachka/images//e/a/0/ea065ffd39dc9daf9ae0fa9fbcc7155b_240x180.jpg,"2023г.,3.4л.,автоматвнедорожник5дв.,гибридрульслева,24км"
HyundaiTucson,$300002686800сом,https://im.mashina.kg/tachka/images//0/3/b/03b257eeb494913fa0ce4165a7ca354a_240x180.jpg,"2021г.,2л.,автоматвнедорожник5дв.,дизельрульслева,24000км"
BMWX5,$470004209320сом,https://im.mashina.kg/tachka/images//3/4/8/3487893e819185b62d769d7413a887ae_240x180.jpg,"2017г.,3л.,автоматвнедорожник5дв.,дизельрульслева,109000км"
BMWX5,$350003134600сом,https://im.mashina.kg/tachka/images//4/7/4/4744e0bb13c2e38be9f65c83e3173e3f_240x180.jpg,"2016г.,3л.,автоматвнедорожник5дв.,дизельрульслева,160000км"
HyundaiSantaFe,$318002848008сом,https://im.mashina.kg/tachka/images//f/e/8/fe89b9d91c99fd8ac15e59fea651f099_240x180.jpg,"2021г.,2.2л.,роботвнедорожник5дв.,дизельрульслева,28000км"
ToyotaHighlander,$270002418120сом,https://im.mashina.kg/tachka/images//f/2/0/f20f8bbdc2ab704834525617c1afbc82_240x180.jpg,"2017г.,3.5л.,автоматвнедорожник5дв.,бензинрульслева,140000км"
KiaMorning,$8300743348сом,https://im.mashina.kg/tachka/images//7/5/e/75e95409a747a78d279d52772e3a8f66_240x180.jpg,"2019г.,1л.,автоматхэтчбек5дв.,бензинрульслева,80000км"
BMW5серии,$356003188336сом,https://im.mashina.kg/tachka/images//b/4/7/b470d324de87ff684c0e030230a867f3_240x180.jpg,"2017г.,3л.,автоматседан,бензинрульслева,94468км"
HyundaiSantaFe,$168001504608сом,https://im.mashina.kg/tachka/images//f/c/a/fca12378aaa47c527ac3d1b4c19e0e1c_240x180.jpg,"2017г.,2л.,автоматвнедорожник5дв.,дизельрульслева,141000км"
LandRoverRangeRover,$850007612600сом,https://im.mashina.kg/tachka/images//5/a/e/5ae5d188dac1a7fda45db5afd45c6b6a_240x180.jpg,"2018г.,4.4л.,автоматвнедорожник5дв.,дизельрульслева,63000км"
KiaCarnival,$217001943452сом,https://im.mashina.kg/tachka/images//3/1/6/316438e3d0041a8ad8f0c22cfe8118a6_240x180.jpg,"2019г.,2.2л.,автоматминивэн,дизельрульслева,103000км"
Mercedes-BenzS-Класс,$480004298880сом,https://im.mashina.kg/tachka/images//2/2/6/2268584e48bfadb3c23e3d67a611cf88_240x180.jpg,"2016г.,3л.,автоматседан,дизельрульслева,191000км"
LandRoverRangeRover,$485004343660сом,https://im.mashina.kg/tachka/images//9/3/6/936fc5a668eb3aa0a380faaf132c294c_240x180.jpg,"2016г.,5л.,автоматвнедорожник5дв.,бензинрульслева,118000км"
LexusNX,$275002462900сом,https://im.mashina.kg/tachka/images//3/f/5/3f5e01dacbde85516316478dc326fa31_240x180.jpg,"2015г.,2л.,автоматвнедорожник5дв.,бензинрульслева,64900км"
HyundaiElantra,$179001603124сом,https://im.mashina.kg/tachka/images//d/3/4/d342e2352b5699e216cb33af2dac078d_240x180.jpg,"2021г.,1.6л.,роботседан,бензинрульслева,8000км"
HyundaiElantra,$188001683728сом,https://im.mashina.kg/tachka/images//c/a/6/ca61d9586905e3dc822c73076c246e50_240x180.jpg,"2024г.,1.5л.,вариаторседан,бензинрульслева,10км"
Mercedes-BenzE-Класс,$295002642020сом,https://im.mashina.kg/tachka/images//a/1/4/a147a7bcd1963c0d348e601e51a41811_240x180.jpg,"2018г.,2л.,автоматседан,дизельрульслева,68000км"
SubaruOutback,$177001585212сом,https://im.mashina.kg/tachka/images//4/d/8/4d8d6bb6d19fe94809a2d1cbb059d51f_240x180.jpg,"2019г.,2.5л.,вариаторуниверсал,бензинрульслева,62300км"
SubaruForester,$147001316532сом,https://im.mashina.kg/tachka/images//c/b/5/cb50af50faa2c8af17d51290c7b7835c_240x180.jpg,"2017г.,2.5л.,вариаторвнедорожник5дв.,бензинрульслева,115000км"
SubaruForester,$137001226972сом,https://im.mashina.kg/tachka/images//5/e/5/5e5d91b642a042ea58805a4adc0345fe_240x180.jpg,"2017г.,2.5л.,вариаторвнедорожник5дв.,бензинрульслева,70000км"
BMW6серии,$450004030200сом,https://im.mashina.kg/tachka/images//6/3/8/6384dd50f932c8c6cc9e6abf6ba2e837_240x180.jpg,"2016г.,4.4л.,автоматседан,бензинрульслева,93000км"
LexusES,$320002865920сом,https://im.mashina.kg/tachka/images//6/6/a/66a6d330b1bcfe6fbca870435f1e7c63_240x180.jpg,"2016г.,2.5л.,вариаторседан,гибридрульслева,155000км"
HyundaiAvante,$192001719552сом,https://im.mashina.kg/tachka/images//c/4/8/c48029423a34427759ac539dac9ed91c_240x180.jpg,"2021г.,1.6л.,вариаторседан,бензинрульслева,53750км"
GACGS8,$329002946524сом,https://im.mashina.kg/tachka/images//6/9/f/69f27b97bf3ac9f95391c576357397b0_240x180.jpg,"2023г.,2л.,автоматвнедорожник5дв.,бензинрульслева,1км"
Mercedes-BenzS-Класс,$3908350000сом,https://im.mashina.kg/tachka/images//9/4/4/9449c85e81f764fa6e5a7f6117b05d66_240x180.jpg,"1992г.,3.2л.,автоматседан,бензинрульслева,420000км"
GeelyCoolray,$185001656860сом,https://im.mashina.kg/tachka/images//a/a/4/aa4cfc536a781131f3deb0477828906c_240x180.jpg,"2023г.,1.5л.,роботвнедорожник5дв.,бензинрульслева,20км"
ChanganUNI-K,$268002400208сом,https://im.mashina.kg/tachka/images//9/9/9/999c95cfe874a9c00db98f1c2914f8ad_240x180.jpg,"2023г.,2л.,автоматвнедорожник5дв.,бензинрульслева,30км"
ToyotaIpsum,$7816700000сом,https://im.mashina.kg/tachka/images//5/2/c/52cf5ab3f565adc0605a29c1a80bb731_240x180.jpg,"2002г.,2.4л.,автоматкомпактвэн,бензинрульсправа,318000км"
GeelyMonjaro,$360003224160сом,https://im.mashina.kg/tachka/images//7/8/0/780d6b8e58d194f9bb9e7b20f5ab9443_240x180.jpg,"2023г.,2л.,автоматвнедорожник5дв.,бензинрульслева,5км"
KiaSorento,$530004746680сом,https://im.mashina.kg/tachka/images//4/6/7/4675240d4e3b694e23d6f89f5e5474bb_240x180.jpg,"2021г.,3.5л.,автоматвнедорожник5дв.,бензинрульслева,8500км"
KiaStinger,$445003985420сом,https://im.mashina.kg/tachka/images//0/d/d/0dd2928493c79f29c1e6d9a13bb60f47_240x180.jpg,"2022г.,3.3л.,автоматлифтбек,бензинрульслева,18000км"
Mercedes-BenzS-Класс,$14500012986200сом,https://im.mashina.kg/tachka/images//e/1/7/e17ed910943a4a4e25c5587acd354015_240x180.jpg,"2022г.,3л.,автоматседан,бензинрульслева,16000км"
HyundaiGrandeur,$450004030200сом,https://im.mashina.kg/tachka/images//1/2/7/12768bc96babdb9a5c823714487fca85_240x180.jpg,"2023г.,3.5л.,автоматседан,газрульслева,14000км"
KiaSportage,$158001415048сом,https://im.mashina.kg/tachka/images//e/1/e/e1e2b33df2c98a0a94abbd3e52710b21_240x180.jpg,"2017г.,2.4л.,автоматвнедорожник5дв.,бензинрульслева,172199км"
GenesisG70,$365003268940сом,https://im.mashina.kg/tachka/images//0/8/c/08c315c5f354557aa817102637fe821b_240x180.jpg,"2022г.,2л.,автоматседан,бензинрульслева,7800км"
Mercedes-BenzC-Класс,$330002955480сом,https://im.mashina.kg/tachka/images//1/5/0/150d79ab40c5d9036cc84c8c35b3d03b_240x180.jpg,"2020г.,2л.,автоматседан,бензинрульслева,51000км"
LandRoverRangeRover,$675006045300сом,https://im.mashina.kg/tachka/images//5/a/2/5a21d92047e0db71080f5f9969493f5d_240x180.jpg,"2018г.,4.4л.,автоматвнедорожник5дв.,дизельрульслева,140000км"
LandRoverRangeRoverSport,$625005597500сом,https://im.mashina.kg/tachka/images//6/0/5/605812e1efb03ec6e0e6ae4e295a45d0_240x180.jpg,"2019г.,3л.,автоматвнедорожник5дв.,бензинрульслева,92000км"
Mercedes-BenzE-Класс,$270002418120сом,https://im.mashina.kg/tachka/images//e/7/9/e79be91fbd0ddaebcc5768a4f2e44d6c_240x180.jpg,"2016г.,2л.,автоматседан,бензинрульслева,165000км"
BMW7серии,$670006000520сом,https://im.mashina.kg/tachka/images//4/4/c/44caa4ae28c3571e936cb8555a18a959_240x180.jpg,"2019г.,3л.,автоматседан,дизельрульслева,80000км"
ToyotaSequoia,$13000011642800сом,https://im.mashina.kg/tachka/images//e/a/0/ea065ffd39dc9daf9ae0fa9fbcc7155b_240x180.jpg,"2023г.,3.4л.,автоматвнедорожник5дв.,гибридрульслева,24км"
HyundaiTucson,$300002686800сом,https://im.mashina.kg/tachka/images//0/3/b/03b257eeb494913fa0ce4165a7ca354a_240x180.jpg,"2021г.,2л.,автоматвнедорожник5дв.,дизельрульслева,24000км"
BMWX5,$470004209320сом,https://im.mashina.kg/tachka/images//3/4/8/3487893e819185b62d769d7413a887ae_240x180.jpg,"2017г.,3л.,автоматвнедорожник5дв.,дизельрульслева,109000км"
BMWX5,$350003134600сом,https://im.mashina.kg/tachka/images//4/7/4/4744e0bb13c2e38be9f65c83e3173e3f_240x180.jpg,"2016г.,3л.,автоматвнедорожник5дв.,дизельрульслева,160000км"
HyundaiSantaFe,$318002848008сом,https://im.mashina.kg/tachka/images//f/e/8/fe89b9d91c99fd8ac15e59fea651f099_240x180.jpg,"2021г.,2.2л.,роботвнедорожник5дв.,дизельрульслева,28000км"
ToyotaHighlander,$270002418120сом,https://im.mashina.kg/tachka/images//f/2/0/f20f8bbdc2ab704834525617c1afbc82_240x180.jpg,"2017г.,3.5л.,автоматвнедорожник5дв.,бензинрульслева,140000км"
KiaMorning,$8300743348сом,https://im.mashina.kg/tachka/images//7/5/e/75e95409a747a78d279d52772e3a8f66_240x180.jpg,"2019г.,1л.,автоматхэтчбек5дв.,бензинрульслева,80000км"
BMW5серии,$356003188336сом,https://im.mashina.kg/tachka/images//b/4/7/b470d324de87ff684c0e030230a867f3_240x180.jpg,"2017г.,3л.,автоматседан,бензинрульслева,94468км"
HyundaiSantaFe,$168001504608сом,https://im.mashina.kg/tachka/images//f/c/a/fca12378aaa47c527ac3d1b4c19e0e1c_240x180.jpg,"2017г.,2л.,автоматвнедорожник5дв.,дизельрульслева,141000км"
LandRoverRangeRover,$850007612600сом,https://im.mashina.kg/tachka/images//5/a/e/5ae5d188dac1a7fda45db5afd45c6b6a_240x180.jpg,"2018г.,4.4л.,автоматвнедорожник5дв.,дизельрульслева,63000км"
KiaCarnival,$217001943452сом,https://im.mashina.kg/tachka/images//3/1/6/316438e3d0041a8ad8f0c22cfe8118a6_240x180.jpg,"2019г.,2.2л.,автоматминивэн,дизельрульслева,103000км"
Mercedes-BenzS-Класс,$480004298880сом,https://im.mashina.kg/tachka/images//2/2/6/2268584e48bfadb3c23e3d67a611cf88_240x180.jpg,"2016г.,3л.,автоматседан,дизельрульслева,191000км"
LandRoverRangeRover,$485004343660сом,https://im.mashina.kg/tachka/images//9/3/6/936fc5a668eb3aa0a380faaf132c294c_240x180.jpg,"2016г.,5л.,автоматвнедорожник5дв.,бензинрульслева,118000км"
LexusNX,$275002462900сом,https://im.mashina.kg/tachka/images//3/f/5/3f5e01dacbde85516316478dc326fa31_240x180.jpg,"2015г.,2л.,автоматвнедорожник5дв.,бензинрульслева,64900км"
HyundaiElantra,$179001603124сом,https://im.mashina.kg/tachka/images//d/3/4/d342e2352b5699e216cb33af2dac078d_240x180.jpg,"2021г.,1.6л.,роботседан,бензинрульслева,8000км"
BMW5серии,$240002149440сом,https://im.mashina.kg/tachka/images//a/c/e/ace10e76af81a6ab750dcaf77c91d1e9_240x180.jpg,"2017г.,2л.,автоматседан,бензинрульслева,105000км"
HyundaiElantra,$188001683728сом,https://im.mashina.kg/tachka/images//c/a/6/ca61d9586905e3dc822c73076c246e50_240x180.jpg,"2024г.,1.5л.,вариаторседан,бензинрульслева,10км"
Mercedes-BenzE-Класс,$295002642020сом,https://im.mashina.kg/tachka/images//a/1/4/a147a7bcd1963c0d348e601e51a41811_240x180.jpg,"2018г.,2л.,автоматседан,дизельрульслева,68000км"
