title, price, img, desc
SubaruOutback,$177001585212сом,https://im.mashina.kg/tachka/images//4/d/8/4d8d6bb6d19fe94809a2d1cbb059d51f_240x180.jpg,"2019г.,2.5л.,вариаторуниверсал,бензинрульслева,62300км"
SubaruForester,$147001316532сом,https://im.mashina.kg/tachka/images//c/b/5/cb50af50faa2c8af17d51290c7b7835c_240x180.jpg,"2017г.,2.5л.,вариаторвнедорожник5дв.,бензинрульслева,115000км"
SubaruForester,$137001226972сом,https://im.mashina.kg/tachka/images//5/e/5/5e5d91b642a042ea58805a4adc0345fe_240x180.jpg,"2017г.,2.5л.,вариаторвнедорожник5дв.,бензинрульслева,70000км"
BMW6серии,$450004030200сом,https://im.mashina.kg/tachka/images//6/3/8/6384dd50f932c8c6cc9e6abf6ba2e837_240x180.jpg,"2016г.,4.4л.,автоматседан,бензинрульслева,93000км"
LexusES,$320002865920сом,https://im.mashina.kg/tachka/images//6/6/a/66a6d330b1bcfe6fbca870435f1e7c63_240x180.jpg,"2016г.,2.5л.,вариаторседан,гибридрульслева,155000км"
HyundaiAvante,$192001719552сом,https://im.mashina.kg/tachka/images//c/4/8/c48029423a34427759ac539dac9ed91c_240x180.jpg,"2021г.,1.6л.,вариаторседан,бензинрульслева,53750км"
GACGS8,$329002946524сом,https://im.mashina.kg/tachka/images//6/9/f/69f27b97bf3ac9f95391c576357397b0_240x180.jpg,"2023г.,2л.,автоматвнедорожник5дв.,бензинрульслева,1км"
Mercedes-BenzS-Класс,$3908350000сом,https://im.mashina.kg/tachka/images//9/4/4/9449c85e81f764fa6e5a7f6117b05d66_240x180.jpg,"1992г.,3.2л.,автоматседан,бензинрульслева,420000км"
GeelyCoolray,$185001656860сом,https://im.mashina.kg/tachka/images//a/a/4/aa4cfc536a781131f3deb0477828906c_240x180.jpg,"2023г.,1.5л.,роботвнедорожник5дв.,бензинрульслева,20км"
ChanganUNI-K,$268002400208сом,https://im.mashina.kg/tachka/images//9/9/9/999c95cfe874a9c00db98f1c2914f8ad_240x180.jpg,"2023г.,2л.,автоматвнедорожник5дв.,бензинрульслева,30км"
ToyotaIpsum,$7816700000сом,https://im.mashina.kg/tachka/images//5/2/c/52cf5ab3f565adc0605a29c1a80bb731_240x180.jpg,"2002г.,2.4л.,автоматкомпактвэн,бензинрульсправа,318000км"
GeelyMonjaro,$360003224160сом,https://im.mashina.kg/tachka/images//7/8/0/780d6b8e58d194f9bb9e7b20f5ab9443_240x180.jpg,"2023г.,2л.,автоматвнедорожник5дв.,бензинрульслева,5км"
ToyotaRAV4,$258002310648сом,https://im.mashina.kg/tachka/images//e/2/e/e2e4de8fc533ba6dfab25d793d3333b5_240x180.jpg,"2019г.,2.5л.,автоматвнедорожник5дв.,бензинрульслева,54000км"
KiaCarnival,$188001683728сом,https://im.mashina.kg/tachka/images//7/7/e/77e1c5127970d62ce31a0289df858470_240x180.jpg,"2019г.,2.2л.,автоматминивэн,дизельрульслева,110000км"
KiaMorning,$7800698568сом,https://im.mashina.kg/tachka/images//7/c/5/7c5e0b07924005e502f9247a485495f3_240x180.jpg,"2020г.,1л.,автоматхэтчбек5дв.,бензинрульслева,84000км"
BMWX5M,$405003627180сом,https://im.mashina.kg/tachka/images//f/8/5/f85a76bd95511fc1e7975c5075b84c6d_240x180.jpg,"2015г.,4.4л.,автоматвнедорожник5дв.,бензинрульслева,132000км"
BMWX7,$560005015360сом,https://im.mashina.kg/tachka/images//3/0/8/308e34b937b14c296314f65c6e713fc1_240x180.jpg,"2019г.,3л.,автоматвнедорожник5дв.,бензинрульслева,60000км"
ToyotaRAV4,$208001862848сом,https://im.mashina.kg/tachka/images//7/7/7/777e94b3082c4dafc444b20d12c637a6_240x180.jpg,"2018г.,2.5л.,автоматвнедорожник5дв.,бензинрульслева,67000км"
ToyotaRAV4,$315002821140сом,https://im.mashina.kg/tachka/images//4/3/f/43f2dd5400204f780eade3219090d389_240x180.jpg,"2020г.,2.5л.,вариаторвнедорожник5дв.,гибридрульслева,90000км"
HyundaiSantaFe,$330002955480сом,https://im.mashina.kg/tachka/images//f/3/7/f370e0473169da7919fac60cfdbcf6e5_240x180.jpg,"2020г.,2.2л.,роботвнедорожник5дв.,дизельрульслева,97000км"
HondaFit,$8000716480сом,https://im.mashina.kg/tachka/images//b/7/e/b7e7ca81c6b451edc88eb01b503c2668_240x180.jpg,"2010г.,1.5л.,автоматхэтчбек5дв.,бензинрульслева,135989км"
HondaCR-V,$246002203176сом,https://im.mashina.kg/tachka/images//4/e/3/4e32bc56a657e751465776f4ffd01d8d_240x180.jpg,"2019г.,1.5л.,вариаторвнедорожник5дв.,бензинрульслева,43452км"
FordMustang,$215001925540сом,https://im.mashina.kg/tachka/images//2/4/c/24c5a481110e49cbf47764dbce225fe2_240x180.jpg,"2017г.,2.3л.,автоматкупе,бензинрульслева,80000км"
Mercedes-BenzG-КлассAMG,$15900014240040сом,https://im.mashina.kg/tachka/images//5/a/f/5afa4fc0989bcf37077af8364ffb0120_240x180.jpg,"2019г.,4л.,автоматвнедорожник5дв.,бензинрульслева,95000км"
ToyotaLandCruiser,$950008508200сом,https://im.mashina.kg/tachka/images//b/a/c/bac9689d27c6ea856b7fe02704a95d39_240x180.jpg,"2020г.,4.6л.,автоматвнедорожник5дв.,бензинрульслева,33000км"
LexusGX,$315002821140сом,https://im.mashina.kg/tachka/images//8/f/9/8f99786c30e73ec790990b985c3094c8_240x180.jpg,"2011г.,4.6л.,автоматвнедорожник5дв.,бензинрульслева,378195км"
HyundaiGrandeur,$188001683728сом,https://im.mashina.kg/tachka/images//9/9/6/996ba8788bc8a46e1b126a10f4ae9043_240x180.jpg,"2021г.,3л.,автоматседан,бензин/газрульслева,81000км"
GeelyCoolray,$183001638948сом,https://im.mashina.kg/tachka/images//7/9/a/79a06a5f18465da2356ddd51ef7b104f_240x180.jpg,"2023г.,1.5л.,роботвнедорожник5дв.,бензинрульслева,15км"
ChevroletMalibu,$140001253840сом,https://im.mashina.kg/tachka/images//f/7/a/f7a4895fbcd5c817e93bdb6caa27b07a_240x180.jpg,"2017г.,1.5л.,автоматседан,бензинрульслева,126000км"
KiaK5IIIСедан,$200001791200сом,https://im.mashina.kg/tachka/images//6/4/f/64ff39acfd65e44e82ddb403221c61c7_240x180.jpg,"2020г.,2л.,автоматседан,газрульслева,120000км"
KiaMohave(Borrego),$450004030200сом,https://im.mashina.kg/tachka/images//c/8/2/c821a1ede653e7b2665fe1c75f437f07_240x180.jpg,"2019г.,3л.,автоматвнедорожник5дв.,дизельрульслева,80000км"
HondaJazz,$8300743348сом,https://im.mashina.kg/tachka/images//3/0/0/300e3040de7f5e6ea7ac316ee2e0cda1_240x180.jpg,"2008г.,1.5л.,вариаторхэтчбек5дв.,бензинрульслева,210000км"
BMWX5,$315002821140сом,https://im.mashina.kg/tachka/images//2/8/e/28e468bcb68b77fb47b74661fe57bce6_240x180.jpg,"2017г.,3л.,автоматвнедорожник5дв.,бензинрульслева,150000км"
BMWX5,$289002588284сом,https://im.mashina.kg/tachka/images//f/2/c/f2c67641c9f90bf6877803cca9498372_240x180.jpg,"2017г.,3л.,автоматвнедорожник5дв.,бензинрульслева,160000км"
ToyotaCamry(Japan),$128001146368сом,https://im.mashina.kg/tachka/images//b/f/9/bf9871a4ea59fc59f6fd9d19dc049b39_240x180.jpg,"2004г.,2.4л.,автоматседан,бензинрульсправа,235000км"
LexusNX,$245002194220сом,https://im.mashina.kg/tachka/images//0/2/a/02a60894ebbea2065517d9d70f15415b_240x180.jpg,"2017г.,2л.,автоматвнедорожник5дв.,бензинрульслева,100000км"
HyundaiSantaFe,$310002776360сом,https://im.mashina.kg/tachka/images//c/0/0/c00ed86387a7722356d1c1450894cacb_240x180.jpg,"2019г.,2.2л.,автоматвнедорожник5дв.,дизельрульслева,69000км"
HyundaiSonata,$138001235928сом,https://im.mashina.kg/tachka/images//5/0/8/50819ea4fdea906475698fc7dab01bc0_240x180.jpg,"2018г.,2.4л.,автоматседан,бензинрульслева,50000км"
HyundaiSonata,$149001334444сом,https://im.mashina.kg/tachka/images//1/9/f/19ff3dc76dfaffd7c21a5a09e720c5dc_240x180.jpg,"2018г.,2.4л.,автоматседан,бензинрульслева,146000км"
HyundaiElantra,$190001701640сом,https://im.mashina.kg/tachka/images//5/0/a/50a8d52ee8573a48c76b6230c9c50600_240x180.jpg,"2023г.,1.5л.,вариаторседан,бензинрульслева,10км"
Mercedes-BenzC-Класс,$119991074630сом,https://im.mashina.kg/tachka/images//1/7/5/175194e61c5f653c6a1f57a78afefd30_240x180.jpg,"2011г.,1.8л.,автоматседан,бензинрульслева,205011км"
LexusIS,$235002104660сом,https://im.mashina.kg/tachka/images//1/4/0/140cf65d794b864814305831b8cb36c6_240x180.jpg,"2017г.,2л.,автоматседан,бензинрульслева,61000км"
LexusNX,$250002239000сом,https://im.mashina.kg/tachka/images//2/c/f/2cfdf7c58156a80397a50f963daf8df9_240x180.jpg,"2017г.,2л.,автоматвнедорожник5дв.,бензинрульслева,70000км"
SubaruCrosstrek,$150001343400сом,https://im.mashina.kg/tachka/images//b/1/4/b14188e98e2fd943c7bf7660c35d524d_240x180.jpg,"2018г.,2л.,вариаторвнедорожник5дв.,бензинрульслева,84000км"
ToyotaHighlander,$225002015100сом,https://im.mashina.kg/tachka/images//5/7/c/57c867135844d59e6151e3a828f5d393_240x180.jpg,"2008г.,3.3л.,вариаторвнедорожник5дв.,гибридрульслева,135506км"
MitsubishiL200,$350003134600сом,https://im.mashina.kg/tachka/images//d/5/c/d5c7ebe651495a3a8b520add297ceca2_240x180.jpg,"2023г.,2.2л.,автоматпикапдвойнаякабина,дизельрульслева,15км"
LexusLX,$515004612340сом,https://im.mashina.kg/tachka/images//d/7/7/d77f6209d65aeb4a235fa05b5adcf0e7_240x180.jpg,"2012г.,5.7л.,автоматвнедорожник5дв.,бензинрульслева,153000км"
LandRoverRangeRover,$530004746680сом,https://im.mashina.kg/tachka/images//6/e/f/6ef4c6fda5443c15b338233eb4835781_240x180.jpg,"2017г.,3л.,автоматвнедорожник5дв.,бензинрульслева,106500км"
ToyotaCamry,$215001925540сом,https://im.mashina.kg/tachka/images//f/b/2/fb25500ac1a992450567cd2364f3c496_240x180.jpg,"2014г.,3.5л.,автоматседан,бензинрульслева,220000км"
ToyotaCamry,$258002310648сом,https://im.mashina.kg/tachka/images//4/4/5/4456b787b442a9965d6723fbcbd3015e_240x180.jpg,"2018г.,2.5л.,вариаторседан,гибридрульслева,99000км"
LexusRX,$870007791720сом,https://im.mashina.kg/tachka/images//e/b/a/ebab398a9058fafc9f06f7b70d2d286e_240x180.jpg,"2023г.,2.4л.,автоматвнедорожник5дв.,бензинрульслева,77км"
BMWX7,$16900015135640сом,https://im.mashina.kg/tachka/images//f/0/1/f01e3d67fb4802fcb696954da88b23cc_240x180.jpg,"2023г.,3л.,автоматвнедорожник5дв.,бензинрульслева,1км"
ToyotaFJCruiser,$390003492840сом,https://im.mashina.kg/tachka/images//b/7/0/b70d263a14fd1941626f8334e65e41e5_240x180.jpg,"2008г.,4л.,автоматвнедорожник5дв.,бензинрульслева,200000км"
GeelyCoolray,$185001656860сом,https://im.mashina.kg/tachka/images//7/0/8/7084857ce80b47be75b5632e1bfb74f3_240x180.jpg,"2023г.,1.5л.,роботвнедорожник5дв.,бензинрульслева,10км"
HyundaiPalisade,$430003851080сом,https://im.mashina.kg/tachka/images//7/6/e/76eb02b24e983f6c26a9cd65b63efc13_240x180.jpg,"2021г.,2.2л.,автоматвнедорожник5дв.,дизельрульслева,34000км"
LexusRX,$150001343400сом,https://im.mashina.kg/tachka/images//2/9/5/2950210e51508ae24eb18ce2eccda79a_240x180.jpg,"2004г.,3.3л.,автоматвнедорожник5дв.,бензинрульслева,180246км"
LiXiangL7,$560005015360сом,https://im.mashina.kg/tachka/images//6/5/a/65adc0e2c3d16bde72834641dfade572_240x180.jpg,"2023г.,1.5л.,автоматвнедорожник5дв.,гибридрульслева,10км"
KiaK7,$189001692684сом,https://im.mashina.kg/tachka/images//d/4/8/d486ed1195363e55841bc5746e143fb9_240x180.jpg,"2018г.,2.4л.,автоматседан,бензинрульслева,64000км"
Mercedes-BenzS-Класс,$120001074720сом,https://im.mashina.kg/tachka/images//2/e/f/2efa086eb559014956d3767b3e63a6c5_240x180.jpg,"2004г.,3.7л.,автоматседан,бензинрульслева,260000км"
GeelyCoolray,$183001638948сом,https://im.mashina.kg/tachka/images//d/8/9/d898c7e983d885424b72554ffb21c647_240x180.jpg,"2023г.,1.5л.,роботвнедорожник5дв.,бензинрульслева,20км"
KiaK7,$172001540432сом,https://im.mashina.kg/tachka/images//6/b/e/6befaf71494b195e6c7661226839dfee_240x180.jpg,"2017г.,3.3л.,автоматседан,бензинрульслева,182256км"
JACT9Hunter,$315002821140сом,https://im.mashina.kg/tachka/images//6/5/a/65a0f2496a893f8824e7389e5a159c1f_240x180.jpg,"2023г.,2л.,автоматпикапдвойнаякабина,бензинрульслева   новый"
VoyahFree,$430003851080сом,https://im.mashina.kg/tachka/images//a/c/d/acdccd9dc68f0f334e9bf593ad3e95d6_240x180.jpg,"2023г.,1.5л.,автоматвнедорожник5дв.,гибридрульслева,10км"
KiaSorento,$315002821140сом,https://im.mashina.kg/tachka/images//4/8/a/48a65ea27d0d172b8998b82515cdd89c_240x180.jpg,"2020г.,2.2л.,роботвнедорожник5дв.,дизельрульслева,98000км"
Zeekr007,$510004567560сом,https://im.mashina.kg/tachka/images//8/f/9/8f9c72ce5bd136be9c65328f198ceae5_240x180.jpg,"2024г.,автоматседан,электрорульслева,5км"
Zeekr007,$510004567560сом,https://im.mashina.kg/tachka/images//1/2/b/12bf2fcc556a4f7162e6a6f3446ebdc9_240x180.jpg,"2024г.,автоматседан,электрорульслева,10км"
ChevroletMalibu,$119001065764сом,https://im.mashina.kg/tachka/images//2/0/e/20ecc1c0b37a412e6e5f9bb4c7e62bdb_240x180.jpg,"2017г.,1.5л.,автоматседан,бензинрульслева,10000км"
ChevroletCruze,$9800877688сом,https://im.mashina.kg/tachka/images//4/a/f/4af78d1118bae93b7c5e44dbf65727c3_240x180.jpg,"2018г.,1.4л.,автоматседан,бензинрульслева,100000км"
ToyotaAvalon,$325002910700сом,https://im.mashina.kg/tachka/images//1/d/8/1d81420e39d16eb344ae56763230bc8e_240x180.jpg,"2018г.,2.5л.,вариаторседан,гибридрульслева,71300км"
LexusES,$335003000260сом,https://im.mashina.kg/tachka/images//2/d/c/2dc83bc1cd2d21e5b3c5e59763938b37_240x180.jpg,"2019г.,2.5л.,вариаторседан,гибридрульслева,42124км"
GMCSierra,$870007791720сом,https://im.mashina.kg/tachka/images//3/5/d/35d43d57721f0ef6047381971a8a5101_240x180.jpg,"2023г.,3л.,автоматпикапдвойнаякабина,дизельрульслева,21000км"
